,feature_name
0,kernel32.dll:SetFileTime
1,kernel32.dll:CompareFileTime
2,kernel32.dll:SearchPathW
3,kernel32.dll:GetShortPathNameW
4,kernel32.dll:GetFullPathNameW
5,kernel32.dll:MoveFileW
6,kernel32.dll:SetCurrentDirectoryW
7,kernel32.dll:GetFileAttributesW
8,kernel32.dll:GetLastError
9,kernel32.dll:CreateDirectoryW
10,kernel32.dll:SetFileAttributesW
11,kernel32.dll:Sleep
12,kernel32.dll:GetTickCount
13,kernel32.dll:GetFileSize
14,kernel32.dll:GetModuleFileNameW
15,kernel32.dll:GetCurrentProcess
16,kernel32.dll:CopyFileW
17,kernel32.dll:ExitProcess
18,kernel32.dll:GetWindowsDirectoryW
19,kernel32.dll:GetTempPathW
20,kernel32.dll:GetCommandLineW
21,kernel32.dll:SetErrorMode
22,kernel32.dll:lstrcpynA
23,kernel32.dll:CloseHandle
24,kernel32.dll:lstrcpynW
25,kernel32.dll:GetDiskFreeSpaceW
26,kernel32.dll:GlobalUnlock
27,kernel32.dll:GlobalLock
28,kernel32.dll:CreateThread
29,kernel32.dll:LoadLibraryW
30,kernel32.dll:CreateProcessW
31,kernel32.dll:lstrcmpiA
32,kernel32.dll:CreateFileW
33,kernel32.dll:GetTempFileNameW
34,kernel32.dll:lstrcatW
35,kernel32.dll:GetProcAddress
36,kernel32.dll:LoadLibraryA
37,kernel32.dll:GetModuleHandleA
38,kernel32.dll:OpenProcess
39,kernel32.dll:lstrcpyW
40,kernel32.dll:GetVersionExW
41,kernel32.dll:GetSystemDirectoryW
42,kernel32.dll:GetVersion
43,kernel32.dll:lstrcpyA
44,kernel32.dll:RemoveDirectoryW
45,kernel32.dll:lstrcmpA
46,kernel32.dll:lstrcmpiW
47,kernel32.dll:lstrcmpW
48,kernel32.dll:ExpandEnvironmentStringsW
49,kernel32.dll:GlobalAlloc
50,kernel32.dll:WaitForSingleObject
51,kernel32.dll:GetExitCodeProcess
52,kernel32.dll:GlobalFree
53,kernel32.dll:GetModuleHandleW
54,kernel32.dll:LoadLibraryExW
55,kernel32.dll:FreeLibrary
56,kernel32.dll:WritePrivateProfileStringW
57,kernel32.dll:GetPrivateProfileStringW
58,kernel32.dll:WideCharToMultiByte
59,kernel32.dll:lstrlenA
60,kernel32.dll:MulDiv
61,kernel32.dll:WriteFile
62,kernel32.dll:ReadFile
63,kernel32.dll:MultiByteToWideChar
64,kernel32.dll:SetFilePointer
65,kernel32.dll:FindClose
66,kernel32.dll:FindNextFileW
67,kernel32.dll:FindFirstFileW
68,kernel32.dll:DeleteFileW
69,kernel32.dll:lstrlenW
70,user32.dll:GetAsyncKeyState
71,user32.dll:IsDlgButtonChecked
72,user32.dll:ScreenToClient
73,user32.dll:GetMessagePos
74,user32.dll:CallWindowProcW
75,user32.dll:IsWindowVisible
76,user32.dll:LoadBitmapW
77,user32.dll:CloseClipboard
78,user32.dll:SetClipboardData
79,user32.dll:EmptyClipboard
80,user32.dll:OpenClipboard
81,user32.dll:TrackPopupMenu
82,user32.dll:GetWindowRect
83,user32.dll:AppendMenuW
84,user32.dll:CreatePopupMenu
85,user32.dll:GetSystemMetrics
86,user32.dll:EndDialog
87,user32.dll:EnableMenuItem
88,user32.dll:GetSystemMenu
89,user32.dll:SetClassLongW
90,user32.dll:IsWindowEnabled
91,user32.dll:SetWindowPos
92,user32.dll:DialogBoxParamW
93,user32.dll:CheckDlgButton
94,user32.dll:CreateWindowExW
95,user32.dll:SystemParametersInfoW
96,user32.dll:RegisterClassW
97,user32.dll:SetDlgItemTextW
98,user32.dll:GetDlgItemTextW
99,user32.dll:MessageBoxIndirectW
100,user32.dll:CharNextA
101,user32.dll:CharUpperW
102,user32.dll:CharPrevW
103,user32.dll:wvsprintfW
104,user32.dll:DispatchMessageW
105,user32.dll:PeekMessageW
106,user32.dll:wsprintfA
107,user32.dll:DestroyWindow
108,user32.dll:CreateDialogParamW
109,user32.dll:SetTimer
110,user32.dll:SetWindowTextW
111,user32.dll:PostQuitMessage
112,user32.dll:SetForegroundWindow
113,user32.dll:ShowWindow
114,user32.dll:wsprintfW
115,user32.dll:SendMessageTimeoutW
116,user32.dll:LoadCursorW
117,user32.dll:SetCursor
118,user32.dll:GetWindowLongW
119,user32.dll:GetSysColor
120,user32.dll:CharNextW
121,user32.dll:GetClassInfoW
122,user32.dll:ExitWindowsEx
123,user32.dll:IsWindow
124,user32.dll:GetDlgItem
125,user32.dll:SetWindowLongW
126,user32.dll:LoadImageW
127,user32.dll:GetDC
128,user32.dll:EnableWindow
129,user32.dll:InvalidateRect
130,user32.dll:SendMessageW
131,user32.dll:DefWindowProcW
132,user32.dll:BeginPaint
133,user32.dll:GetClientRect
134,user32.dll:FillRect
135,user32.dll:DrawTextW
136,user32.dll:EndPaint
137,user32.dll:FindWindowExW
138,gdi32.dll:SetBkColor
139,gdi32.dll:GetDeviceCaps
140,gdi32.dll:DeleteObject
141,gdi32.dll:CreateBrushIndirect
142,gdi32.dll:CreateFontIndirectW
143,gdi32.dll:SetBkMode
144,gdi32.dll:SetTextColor
145,gdi32.dll:SelectObject
146,shell32.dll:SHBrowseForFolderW
147,shell32.dll:SHGetPathFromIDListW
148,shell32.dll:SHGetFileInfoW
149,shell32.dll:ShellExecuteW
150,shell32.dll:SHFileOperationW
151,shell32.dll:SHGetSpecialFolderLocation
152,advapi32.dll:RegEnumKeyW
153,advapi32.dll:RegOpenKeyExW
154,advapi32.dll:RegCloseKey
155,advapi32.dll:RegDeleteKeyW
156,advapi32.dll:RegDeleteValueW
157,advapi32.dll:RegCreateKeyExW
158,advapi32.dll:RegSetValueExW
159,advapi32.dll:RegQueryValueExW
160,advapi32.dll:RegEnumValueW
161,comctl32.dll:ImageList_AddMasked
162,comctl32.dll:ImageList_Destroy
163,comctl32.dll:
164,comctl32.dll:ImageList_Create
165,ole32.dll:CoTaskMemFree
166,ole32.dll:OleInitialize
167,ole32.dll:OleUninitialize
168,ole32.dll:CoCreateInstance
169,version.dll:GetFileVersionInfoSizeW
170,version.dll:GetFileVersionInfoW
171,version.dll:VerQueryValueW
172,kernel32.dll:VirtualFree
173,kernel32.dll:GetTempPathA
174,kernel32.dll:CreateDirectoryA
175,kernel32.dll:RemoveDirectoryA
176,kernel32.dll:SetCurrentDirectoryA
177,kernel32.dll:CreateFileA
178,kernel32.dll:VirtualProtect
179,kernel32.dll:VirtualAlloc
180,kernel32.dll:HeapFree
181,kernel32.dll:GetCommandLineA
182,kernel32.dll:HeapAlloc
183,kernel32.dll:GetProcessHeap
184,kernel32.dll:IsProcessorFeaturePresent
185,kernel32.dll:IsDebuggerPresent
186,kernel32.dll:EncodePointer
187,kernel32.dll:DecodePointer
188,kernel32.dll:EnterCriticalSection
189,kernel32.dll:LeaveCriticalSection
190,kernel32.dll:GetConsoleMode
191,kernel32.dll:ReadConsoleW
192,kernel32.dll:SetFilePointerEx
193,kernel32.dll:GetStdHandle
194,kernel32.dll:GetFileType
195,kernel32.dll:InitializeCriticalSectionAndSpinCount
196,kernel32.dll:DeleteCriticalSection
197,kernel32.dll:GetStartupInfoW
198,kernel32.dll:RtlUnwind
199,kernel32.dll:GetCurrentProcessId
200,kernel32.dll:SetLastError
201,kernel32.dll:InterlockedIncrement
202,kernel32.dll:InterlockedDecrement
203,kernel32.dll:GetCurrentThreadId
204,kernel32.dll:GetModuleHandleExW
205,kernel32.dll:AreFileApisANSI
206,kernel32.dll:GetModuleFileNameA
207,kernel32.dll:QueryPerformanceCounter
208,kernel32.dll:GetSystemTimeAsFileTime
209,kernel32.dll:GetEnvironmentStringsW
210,kernel32.dll:FreeEnvironmentStringsW
211,kernel32.dll:UnhandledExceptionFilter
212,kernel32.dll:SetUnhandledExceptionFilter
213,kernel32.dll:TerminateProcess
214,kernel32.dll:TlsAlloc
215,kernel32.dll:TlsGetValue
216,kernel32.dll:TlsSetValue
217,kernel32.dll:TlsFree
218,kernel32.dll:SetStdHandle
219,kernel32.dll:FlushFileBuffers
220,kernel32.dll:GetConsoleCP
221,kernel32.dll:GetFileAttributesExW
222,kernel32.dll:IsValidCodePage
223,kernel32.dll:GetACP
224,kernel32.dll:GetOEMCP
225,kernel32.dll:GetCPInfo
226,kernel32.dll:HeapReAlloc
227,kernel32.dll:OutputDebugStringW
228,kernel32.dll:WriteConsoleW
229,kernel32.dll:SetEndOfFile
230,kernel32.dll:GetStringTypeW
231,kernel32.dll:LCMapStringW
232,kernel32.dll:HeapSize
233,gdiplus.dll:GdipCloneImage
234,gdiplus.dll:GdipGetImageEncoders
235,gdiplus.dll:GdipGetImageEncodersSize
236,gdiplus.dll:GdiplusShutdown
237,gdiplus.dll:GdipCreateBitmapFromStreamICM
238,gdiplus.dll:GdipCreateBitmapFromStream
239,gdiplus.dll:GdipSaveImageToStream
240,gdiplus.dll:GdipDisposeImage
241,gdiplus.dll:GdipLoadImageFromFileICM
242,gdiplus.dll:GdipLoadImageFromFile
243,gdiplus.dll:GdipAlloc
244,gdiplus.dll:GdipFree
245,gdiplus.dll:GdiplusStartup
246,gdiplus.dll:GdipCreateHBITMAPFromBitmap
247,rpcrt4.dll:UuidCreate
248,version.dll:GetFileVersionInfoA
249,version.dll:VerQueryValueA
250,version.dll:GetFileVersionInfoSizeA
251,msi.dll:
252,winmm.dll:PlaySoundA
253,kernel32.dll:FileTimeToLocalFileTime
254,kernel32.dll:GetFileAttributesA
255,kernel32.dll:GetFileSizeEx
256,kernel32.dll:GetFileTime
257,kernel32.dll:GlobalReAlloc
258,kernel32.dll:GlobalHandle
259,kernel32.dll:LocalReAlloc
260,kernel32.dll:GetCurrentDirectoryA
261,kernel32.dll:GlobalFlags
262,kernel32.dll:RaiseException
263,kernel32.dll:FindNextFileA
264,kernel32.dll:GetDriveTypeA
265,kernel32.dll:GetStartupInfoA
266,kernel32.dll:GetSystemInfo
267,kernel32.dll:VirtualQuery
268,kernel32.dll:ExitThread
269,kernel32.dll:HeapCreate
270,kernel32.dll:SetHandleCount
